PID,Product,Category,Cost_per_box,GeoID,Geo,Boxes,TotalCost,Reveneu,Profit,SaleDate,Customers,SPID,Salesperson,Team
P04,Raspberry Choco,Bars,4.09,G4,New Zealand,495,2024.55,8414,6389.45,1/1/2021 0:00,276,SP01,Barr Faughny,Yummies
P14,White Choc,Other,0.16,G3,Canada,54,8.64,532,523.36,1/1/2021 0:00,317,SP02,Dennison Crosswaite,Yummies
P08,99% Dark & Pure,Bars,2.47,G2,USA,269,664.43,5376,4711.57,1/1/2021 0:00,178,SP12,Karlen McCaffrey,Yummies
P15,Baker's Choco Chips,Bars,3.4,G4,New Zealand,22,74.8,259,184.2,1/1/2021 0:00,32,SP01,Barr Faughny,Yummies
P18,Manuka Honey Choco,Other,4.75,G2,USA,179,850.25,5530,4679.75,1/1/2021 0:00,4,SP19,Beverie Moffet,Jucies
P13,85% Dark Bars,Bars,0.64,G1,India,122,78.08,2184,2105.92,1/1/2021 0:00,63,SP17,Rafaelita Blaksland,unkown
P04,Raspberry Choco,Bars,4.09,G6,UK,71,290.39,1057,766.61,1/1/2021 0:00,295,SP20,Oby Sorrel,Jucies
P16,Organic Choco Syrup,Other,1.47,G5,Australia,37,54.39,1036,981.61,1/1/2021 0:00,370,SP14,Dotty Strutley,Delish
P17,Caramel Stuffed Bars,Bars,0.54,G5,Australia,176,95.04,4039,3943.96,1/1/2021 0:00,536,SP10,Brien Boise,Jucies
P01,Milk Bars,Bars,1.52,G4,New Zealand,478,726.56,12894,12167.44,1/1/2021 0:00,115,SP06,Curtice Advani,Delish
P01,Milk Bars,Bars,1.52,G2,USA,180,273.6,4669,4395.4,1/1/2021 0:00,121,SP18,Madelene Upcott,Jucies
P16,Organic Choco Syrup,Other,1.47,G4,New Zealand,246,361.62,6377,6015.38,1/1/2021 0:00,184,SP04,Wilone O'Kielt,Delish
P05,Mint Chip Choco,Bars,1.54,G3,Canada,256,394.24,4599,4204.76,1/1/2021 0:00,106,SP22,Jehu Rudeforth,unkown
P09,Orange Choco,Bars,7.14,G2,USA,251,1792.14,2751,958.86,1/1/2021 0:00,228,SP22,Jehu Rudeforth,unkown
P06,Eclairs,Bites,2.24,G1,India,975,2184,15596,13412,1/1/2021 0:00,32,SP10,Brien Boise,Jucies
P11,After Nines,Bites,4.43,G1,India,330,1461.9,8561,7099.1,1/1/2021 0:00,111,SP06,Curtice Advani,Delish
P05,Mint Chip Choco,Bars,1.54,G6,UK,752,1158.08,14273,13114.92,1/1/2021 0:00,335,SP25,Camilla Castle,Delish
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,148,94.72,2506,2411.28,1/1/2021 0:00,99,SP02,Dennison Crosswaite,Yummies
P10,Spicy Special Slims,Bites,5.79,G3,Canada,89,515.31,2387,1871.69,1/1/2021 0:00,134,SP19,Beverie Moffet,Jucies
P07,Drinking Coco,Other,1.62,G2,USA,280,453.6,7553,7099.4,1/1/2021 0:00,67,SP09,Andria Kimpton,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G4,New Zealand,171,610.47,3409,2798.53,1/1/2021 0:00,93,SP22,Jehu Rudeforth,unkown
P22,Peanut Butter Cubes,Bites,3.57,G2,USA,216,771.12,3878,3106.88,1/1/2021 0:00,24,SP15,Kelci Walkden,Yummies
P04,Raspberry Choco,Bars,4.09,G2,USA,204,834.36,3052,2217.64,1/1/2021 0:00,76,SP12,Karlen McCaffrey,Yummies
P21,Choco Coated Almonds,Bites,6.17,G2,USA,1013,6250.21,19229,12978.79,1/4/2021 0:00,64,SP18,Madelene Upcott,Jucies
P21,Choco Coated Almonds,Bites,6.17,G6,UK,95,586.15,1988,1401.85,1/4/2021 0:00,179,SP15,Kelci Walkden,Yummies
P09,Orange Choco,Bars,7.14,G6,UK,11,78.54,147,68.46,1/4/2021 0:00,9,SP12,Karlen McCaffrey,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G6,UK,134,211.72,2401,2189.28,1/4/2021 0:00,407,SP20,Oby Sorrel,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G2,USA,94,50.76,2814,2763.24,1/4/2021 0:00,296,SP11,Husein Augar,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G6,UK,216,116.64,5390,5273.36,1/4/2021 0:00,61,SP06,Curtice Advani,Delish
P02,50% Dark Bites,Bites,2.57,G3,Canada,262,673.34,3920,3246.66,1/4/2021 0:00,16,SP23,Van Tuxwell,Yummies
P19,70% Dark Bites,Bites,4.97,G3,Canada,943,4686.71,7539,2852.29,1/4/2021 0:00,502,SP19,Beverie Moffet,Jucies
P16,Organic Choco Syrup,Other,1.47,G1,India,664,976.08,17248,16271.92,1/5/2021 0:00,163,SP23,Van Tuxwell,Yummies
P03,Almond Choco,Bars,9.6,G6,UK,66,633.6,1176,542.4,1/5/2021 0:00,152,SP18,Madelene Upcott,Jucies
P13,85% Dark Bars,Bars,0.64,G5,Australia,573,366.72,9730,9363.28,1/5/2021 0:00,361,SP17,Rafaelita Blaksland,unkown
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,140,89.6,2226,2136.4,1/5/2021 0:00,129,SP16,Marney O'Breen,Jucies
P12,Fruit & Nut Bars,Bars,1.58,G6,UK,643,1015.94,7063,6047.06,1/5/2021 0:00,250,SP18,Madelene Upcott,Jucies
P11,After Nines,Bites,4.43,G4,New Zealand,275,1218.25,7399,6180.75,1/5/2021 0:00,420,SP07,Kaine Padly,Delish
P09,Orange Choco,Bars,7.14,G2,USA,306,2184.84,4284,2099.16,1/5/2021 0:00,230,SP04,Wilone O'Kielt,Delish
P04,Raspberry Choco,Bars,4.09,G4,New Zealand,271,1108.39,4865,3756.61,1/5/2021 0:00,168,SP07,Kaine Padly,Delish
P19,70% Dark Bites,Bites,4.97,G4,New Zealand,315,1565.55,3780,2214.45,1/5/2021 0:00,111,SP06,Curtice Advani,Delish
P09,Orange Choco,Bars,7.14,G1,India,279,1992.06,3059,1066.94,1/5/2021 0:00,484,SP13,Jan Morforth,Delish
P11,After Nines,Bites,4.43,G6,UK,276,1222.68,6622,5399.32,1/5/2021 0:00,57,SP11,Husein Augar,Yummies
P20,Smooth Sliky Salty,Bars,2.97,G1,India,34,100.98,644,543.02,1/6/2021 0:00,116,SP04,Wilone O'Kielt,Delish
P11,After Nines,Bites,4.43,G1,India,171,757.53,4935,4177.47,1/6/2021 0:00,87,SP08,Ches Bonnell,unkown
P22,Peanut Butter Cubes,Bites,3.57,G6,UK,378,1349.46,7182,5832.54,1/6/2021 0:00,29,SP13,Jan Morforth,Delish
P09,Orange Choco,Bars,7.14,G5,Australia,77,549.78,539,-10.78,1/6/2021 0:00,10,SP09,Andria Kimpton,Jucies
P19,70% Dark Bites,Bites,4.97,G6,UK,91,452.27,637,184.73,1/6/2021 0:00,79,SP20,Oby Sorrel,Jucies
P15,Baker's Choco Chips,Bars,3.4,G2,USA,184,625.6,1470,844.4,1/6/2021 0:00,57,SP07,Kaine Padly,Delish
P13,85% Dark Bars,Bars,0.64,G2,USA,61,39.04,1442,1402.96,1/6/2021 0:00,108,SP10,Brien Boise,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,564,1675.08,9023,7347.92,1/6/2021 0:00,224,SP11,Husein Augar,Yummies
P01,Milk Bars,Bars,1.52,G6,UK,101,153.52,2709,2555.48,1/6/2021 0:00,27,SP03,Gunar Cockshoot,Yummies
P21,Choco Coated Almonds,Bites,6.17,G3,Canada,338,2085.46,5733,3647.54,1/7/2021 0:00,193,SP19,Beverie Moffet,Jucies
P02,50% Dark Bites,Bites,2.57,G3,Canada,1307,3358.99,10451,7092.01,1/7/2021 0:00,155,SP05,Gigi Bohling,Delish
P18,Manuka Honey Choco,Other,4.75,G1,India,388,1843,11228,9385,1/7/2021 0:00,236,SP18,Madelene Upcott,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G6,UK,129,69.66,3073,3003.34,1/7/2021 0:00,137,SP15,Kelci Walkden,Yummies
P13,85% Dark Bars,Bars,0.64,G5,Australia,288,184.32,5467,5282.68,1/7/2021 0:00,109,SP09,Andria Kimpton,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,226,671.22,4067,3395.78,1/7/2021 0:00,272,SP08,Ches Bonnell,unkown
P05,Mint Chip Choco,Bars,1.54,G1,India,149,229.46,2814,2584.54,1/8/2021 0:00,69,SP02,Dennison Crosswaite,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,105,56.7,2716,2659.3,1/8/2021 0:00,299,SP24,Roddy Speechley,Delish
P09,Orange Choco,Bars,7.14,G5,Australia,325,2320.5,3570,1249.5,1/8/2021 0:00,61,SP22,Jehu Rudeforth,unkown
P13,85% Dark Bars,Bars,0.64,G1,India,479,306.56,9562,9255.44,1/8/2021 0:00,123,SP12,Karlen McCaffrey,Yummies
P22,Peanut Butter Cubes,Bites,3.57,G4,New Zealand,104,371.28,2373,2001.72,1/8/2021 0:00,2,SP17,Rafaelita Blaksland,unkown
P17,Caramel Stuffed Bars,Bars,0.54,G1,India,123,66.42,2807,2740.58,1/8/2021 0:00,236,SP08,Ches Bonnell,unkown
P01,Milk Bars,Bars,1.52,G2,USA,14,21.28,420,398.72,1/8/2021 0:00,196,SP10,Brien Boise,Jucies
P04,Raspberry Choco,Bars,4.09,G2,USA,515,2106.35,8239,6132.65,1/8/2021 0:00,157,SP06,Curtice Advani,Delish
P02,50% Dark Bites,Bites,2.57,G4,New Zealand,486,1249.02,6797,5547.98,1/8/2021 0:00,114,SP05,Gigi Bohling,Delish
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,319,204.16,6048,5843.84,1/8/2021 0:00,56,SP22,Jehu Rudeforth,unkown
P04,Raspberry Choco,Bars,4.09,G5,Australia,21,85.89,364,278.11,1/8/2021 0:00,14,SP05,Gigi Bohling,Delish
P14,White Choc,Other,0.16,G5,Australia,406,64.96,6496,6431.04,1/8/2021 0:00,15,SP19,Beverie Moffet,Jucies
P09,Orange Choco,Bars,7.14,G2,USA,106,756.84,1057,300.16,1/8/2021 0:00,45,SP24,Roddy Speechley,Delish
P04,Raspberry Choco,Bars,4.09,G6,UK,17,69.53,357,287.47,1/8/2021 0:00,185,SP08,Ches Bonnell,unkown
